28,"What is the purpose of ""incident attribution"" in cybersecurity?",To identify and attribute the source of a security incident or attack,To create strong passwords,To slow down network traffic,To block all incoming network traffic,A
29,"What is a ""side-channel attack"" in cybersecurity?",A type of DDoS attack,An attack that targets the physical infrastructure of a data center,"An attack that exploits information leaked through unintended channels, such as power consumption or electromagnetic radiation",An attack that targets the application layer of a network,C
30,"What is the purpose of ""threat hunting"" in cybersecurity?",To slow down computer performance,To proactively search for signs of hidden threats and vulnerabilities within an organization's network,To create strong passwords,To block all network traffic,B
31,"Which of the following is a common method for securing critical infrastructure, such as power grids and water treatment plants?",Using weak authentication methods,Ignoring security updates and patches,Implementing strict access controls and network segmentation,Sharing administrator passwords with all users,C
32,"What is the purpose of ""container security scanning"" in cybersecurity?",To create strong passwords,To slow down network traffic,To identify vulnerabilities and security issues within container images,To block all incoming network traffic,C
33,Which of the following is a common method for securing firmware and hardware components in embedded systems?,Regularly updating firmware and software,Leaving firmware unsecured,Using default passwords and configurations,Sharing firmware access with others,A
34,"What is the primary goal of a ""security orchestration, automation, and response"" (SOAR) system in cybersecurity?",To slow down computer performance,To automate and streamline incident response processes,To create strong passwords,To block all network traffic,B
35,"Which of the following is a common method for securing critical infrastructure control systems, such as SCADA (Supervisory Control and Data Acquisition) systems?",Sharing control system credentials with third parties,Using outdated and unsupported operating systems,Implementing strict access controls and network segmentation,Leaving control systems unsecured,C
36,"What is the purpose of ""secure coding practices"" in software development?",To slow down network traffic,To create strong passwords,To develop software that is resistant to security vulnerabilities and attacks,To block all incoming network traffic,C
37,Which of the following is a common method for securing industrial IoT (IIoT) devices used in manufacturing and critical infrastructure?,Regularly updating and patching firmware,Leaving IIoT devices unsecured,Using weak or default passwords,Sharing IIoT device access with external partners,A
38,"What is the primary goal of ""threat intelligence sharing"" among organizations in the cybersecurity community?",To create strong passwords,To slow down computer performance,To share information about emerging threats and vulnerabilities,To block all network traffic,C
39,"What is the purpose of a ""security culture"" within an organization?",To slow down network traffic,To create strong passwords,To foster a mindset and set of behaviors that prioritize security throughout the organization,To block all incoming network traffic,C
40,"What is the term for the practice of identifying, assessing, and managing cybersecurity risks within an organization?",Security risk management,Threat modeling,Security incident response,Security awareness training,A
41,Which of the following is a common method for securing the supply chain of software and hardware components used in an organization?,Performing regular security audits of suppliers,Ignoring supply chain security risks,Sharing sensitive data with suppliers without any restrictions,Using outdated and unverified components,A
42,"What is the primary purpose of ""security policy enforcement"" in cybersecurity?",To create strong passwords,To slow down network traffic,To ensure that security policies and controls are consistently applied and enforced within an organization,To block all incoming network traffic,C
43,"Which of the following is a common method for securing the ""human element"" in cybersecurity?",Ignoring the importance of user training and awareness,Providing ongoing cybersecurity education and training for employees,Sharing sensitive data with external parties,Using weak or default user authentication,B
44,"What is the purpose of a ""security operations center"" (SOC) in an organization?",To slow down computer performance,To create strong passwords,"To monitor, detect, and respond to security incidents in real-time",To block all incoming network traffic,C
45,Which of the following is a common method for securing data in motion within a network?,Using unencrypted communication protocols,Encrypting network traffic using technologies like TLS/SSL,Leaving data unencrypted during transmission,Disabling network firewalls,B
46,"What is the primary goal of ""secure software development life cycle"" (SDLC) practices?",To slow down network traffic,To create strong passwords,To integrate security considerations throughout the software development process,To block all incoming network traffic,C
47,"Which of the following is a common method for securing the ""Internet of Medical Things"" (IoMT) devices used in healthcare?",Regularly updating and patching device firmware,Sharing medical device access with unauthorized personnel,Using weak or default device authentication,Ignoring device security settings,A
